	Gene_symbol	Entrez_ID	Value_count	ensembl_gene_id	chromosome_name
190	C18orf55	29090	64	ENSG00000075336	18
192	FAM120B	84498	64	ENSG00000112584	6
193	FNDC3A	22862	64	ENSG00000102531	13
194	ANKRD54	129138	64	ENSG00000100124	22
195	ESD	2098	64	ENSG00000139684	13
196	ARCN1	372	64	ENSG00000095139	11
197	TXNL4A	10907	64	ENSG00000141759	18
198	CASP8AP2	9994	64	ENSG00000118412	6
199	PDCD2	5134	63	ENSG00000071994	6
200	UBXN8	7993	63	ENSG00000104691	8
201	SF3B5	83443	63	ENSG00000169976	6
202	UBE4A	9354	63	ENSG00000110344	11
203	CEP57	9702	62	ENSG00000166037	11
204	KIAA0776	23376	62	ENSG00000014123	6
205	PHF5A	84844	62	ENSG00000100410	22
206	XRCC6	2547	61	ENSG00000196419	22
207	VTA1	51534	61	ENSG00000009844	6
208	HSF2	3298	61	ENSG00000025156	6
209	HMBS	3145	61	ENSG00000256269	11
210	ADSL	158	61	ENSG00000239900	22
211	RNASEH2B	79621	60	ENSG00000136104	13
212	PAFAH1B2	5049	60	ENSG00000168092	11
213	ZUFSP	221302	60	ENSG00000153975	6
214	RHOBTB2	23221	60	ENSG00000008853	8
215	TPT1	7178	60	ENSG00000133112	13
216	TOMM22	56993	60	ENSG00000100216	22
217	RPUSD4	84881	59	ENSG00000165526	11
218	GTF3A	2971	59	ENSG00000122034	13
219	FOXRED1	55572	59	ENSG00000110074	11
220	ZNF259	8882	59	ENSG00000109917	11
221	ARHGEF10	9639	59	ENSG00000104728	8
223	UQCR10	29796	59	ENSG00000184076	22
224	NFRKB	4798	59	ENSG00000170322	11
225	CWF19L2	143884	58	ENSG00000152404	11
226	STT3A	3703	58	ENSG00000134910	11
227	RNF26	79102	58	ENSG00000173456	11
228	MED17	9440	57	ENSG00000042429	11
229	GGA1	26088	56	ENSG00000100083	22
230	KIAA1731	85459	56	ENSG00000166004	11
231	DCUN1D2	55208	56	ENSG00000150401	13
233	AKIRIN2	55122	56	ENSG00000135334	6
234	PUS3	83480	55	ENSG00000110060	11
235	TXN2	25828	55	ENSG00000100348	22
236	SEC63	11231	55	ENSG00000025796	6
237	KIAA1468	57614	55	ENSG00000134444	18
238	NDUFAF4	29078	54	ENSG00000123545	6
239	USP28	57646	54	ENSG00000048028	11
240	VPS4B	9525	54	ENSG00000119541	18
241	L3MBTL2	83746	54	ENSG00000100395	22
242	EIF4ENIF1	56478	53	ENSG00000184708	22
243	ZBTB24	9841	53	ENSG00000112365	6
244	TSPYL1	7259	53	ENSG00000189241	6
245	GNRH1	2796	53	ENSG00000147437	8
246	FBXO16	157574	52	ENSG00000214050	8
247	KARS	3735	52	ENSG00000065427	16
248	QRSL1	55278	52	ENSG00000130348	6
249	SNX3	8724	52	ENSG00000112335	6
250	DRG1	4733	52	ENSG00000185721	22
251	GTF2H5	404672	51	ENSG00000272047	6
252	NUPL1	9818	51	ENSG00000139496	13
253	GALNT6	11226	51	ENSG00000139629	12
254	DYNLT1	6993	51	ENSG00000146425	6
255	VPS26B	112936	51	ENSG00000151502	11
256	LIG4	3981	51	ENSG00000174405	13
257	TDRD3	81550	51	ENSG00000083544	13
258	EED	8726	50	ENSG00000074266	11
259	HINFP	25988	50	ENSG00000172273	11
260	FIG4	9896	50	ENSG00000112367	6
261	LTV1	84946	50	ENSG00000135521	6
262	SMAD2	4087	50	ENSG00000175387	18
263	CLN5	1203	50	ENSG00000102805	13
264	CHEK1	1111	50	ENSG00000149554	11
265	COX7A2	1347	50	ENSG00000112695	6
266	CTDP1	9150	50	ENSG00000060069	18
267	PITPNB	23760	49	ENSG00000180957	22
268	FGFR1OP	11116	49	ENSG00000213066	6
269	MTMR6	9107	49	ENSG00000139505	13
271	PTS	5805	48	ENSG00000150787	11
272	MRPL40	64976	48	ENSG00000185608	22
273	SFI1	9814	48	ENSG00000198089	22
274	FDXACB1	91893	48	ENSG00000255561	11
275	NCAPD3	23310	48	ENSG00000151503	11
276	NEK3	4752	48	ENSG00000136098	13
277	SNX19	399979	48	ENSG00000120451	11
278	SLC37A4	2542	48	ENSG00000137700	11
279	SENP6	26054	47	ENSG00000112701	6
280	DCPS	28960	47	ENSG00000110063	11
281	PQLC1	80148	47	ENSG00000122490	18
282	C6orf182	285753	47	ENSG00000183137	6
283	TMX3	54495	46	ENSG00000166479	18
284	DEFB1	1672	46	ENSG00000164825	8
285	UBE2L3	7332	46	ENSG00000185651	22
286	WTAP	9589	46	ENSG00000146457	6
287	TREX1	11277	46	ENSG00000213689	3
288	C22orf30	253143	46	ENSG00000183530	22
289	C4orf41	60684	46	ENSG00000168538	4
290	ASCC2	84164	46	ENSG00000100325	22
291	DDX19A	55308	46	ENSG00000168872	16
292	C6orf162	57150	46	ENSG00000111850	6
293	RNF185	91445	46	ENSG00000138942	22
295	SERINC1	57515	45	ENSG00000111897	6
296	BIRC2	329	45	ENSG00000110330	11
297	TBCEL	219899	45	ENSG00000154114	11
298	RNF6	6049	45	ENSG00000127870	13
299	ZBTB44	29068	45	ENSG00000196323	11
301	EBPL	84650	45	ENSG00000123179	13
302	DPAGT1	1798	45	ENSG00000172269	11
303	NUP50	10762	45	ENSG00000093000	22
4	RNF5P1	286140	592	ENSG00000253570	8
61	RPL23AP53	644128	127	ENSG00000223508	8
91	FKBP1AP1	2282	98	ENSG00000269304	19
223	CCT6P1	643253	59	ENSG00000228409	7
271	THSD1P1	374500	48	ENSG00000285160	13
