	ensembl_gene_id	external_gene_name	description
36	ENSG00000278152	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]
37	ENSG00000277484	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]
38	ENSG00000273575	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]
39	ENSG00000273510	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]
40	ENSG00000275237	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]
41	ENSG00000276858	FCAR	Fc fragment of IgA receptor [Source:HGNC Symbol;Acc:HGNC:3608]
42	ENSG00000277616	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]
43	ENSG00000275717	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]
44	ENSG00000277044	OPRL1	opioid related nociceptin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8155]
45	ENSG00000277251	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6330]
46	ENSG00000277339	NPBWR2	neuropeptides B and W receptor 2 [Source:HGNC Symbol;Acc:HGNC:4530]
47	ENSG00000278606	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]
48	ENSG00000276876	MYT1	myelin transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7622]
49	ENSG00000276501	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]
50	ENSG00000276328	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
51	ENSG00000275407	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6330]
52	ENSG00000261992	GATAD2B	GATA zinc finger domain containing 2B [Source:HGNC Symbol;Acc:HGNC:30778]
53	ENSG00000278805	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]
54	ENSG00000274692	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]
55	ENSG00000276424	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]
56	ENSG00000263057	KRT20	keratin 20 [Source:HGNC Symbol;Acc:HGNC:20412]
57	ENSG00000273526	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]
58	ENSG00000275062	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
59	ENSG00000276423	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]
60	ENSG00000275433	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
61	ENSG00000262068	KRTAP3-1	keratin associated protein 3-1 [Source:HGNC Symbol;Acc:HGNC:16778]
62	ENSG00000273738	FCAR	Fc fragment of IgA receptor [Source:HGNC Symbol;Acc:HGNC:3608]
63	ENSG00000263296	KRTAP3-2	keratin associated protein 3-2 [Source:HGNC Symbol;Acc:HGNC:16779]
64	ENSG00000274948	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]
65	ENSG00000262121	KRTAP4-9	keratin associated protein 4-9 [Source:HGNC Symbol;Acc:HGNC:18910]
66	ENSG00000263163	SLC27A3	solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]
67	ENSG00000281935	DNAH10	dynein axonemal heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:2941]
68	ENSG00000263091	KRTAP2-4	keratin associated protein 2-4 [Source:HGNC Symbol;Acc:HGNC:18891]
69	ENSG00000276885	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]
70	ENSG00000274696	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
71	ENSG00000263309	KRT23	keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]
72	ENSG00000275786	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]
73	ENSG00000278427	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]
74	ENSG00000274406	KIR2DS4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]
75	ENSG00000276676	KIR2DS5	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5 [Source:HGNC Symbol;Acc:HGNC:6337]
76	ENSG00000276985	FCAR	Fc fragment of IgA receptor [Source:HGNC Symbol;Acc:HGNC:3608]
77	ENSG00000275276	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]
78	ENSG00000276084	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
79	ENSG00000276258	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]
80	ENSG00000275659	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]
81	ENSG00000275946	KIR2DL5B	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B [Source:HGNC Symbol;Acc:HGNC:16346]
82	ENSG00000274189	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]
83	ENSG00000277982	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]
84	ENSG00000276534	KIR3DS1	killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6340]
85	ENSG00000276425	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]
86	ENSG00000275421	KIR2DS1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6333]
87	ENSG00000275047	KIR2DS3	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6335]
88	ENSG00000275172	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
89	ENSG00000275080	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]
90	ENSG00000275511	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]
91	ENSG00000274518	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]
92	ENSG00000277725	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6330]
93	ENSG00000274945	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]
94	ENSG00000274722	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]
95	ENSG00000278850	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]
96	ENSG00000273518	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]
97	ENSG00000274782	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]
98	ENSG00000275018		novel transcript
99	ENSG00000277833	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]
100	ENSG00000269823		
101	ENSG00000275035	CCDC92	coiled-coil domain containing 92 [Source:HGNC Symbol;Acc:HGNC:29563]
102	ENSG00000277193	KIR2DS3	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6335]
103	ENSG00000276392	KIR2DL5A	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A [Source:HGNC Symbol;Acc:HGNC:16345]
104	ENSG00000277650	KIR2DS3	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6335]
105	ENSG00000277964	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]
106	ENSG00000276329	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]
107	ENSG00000262845	KRT40	keratin 40 [Source:HGNC Symbol;Acc:HGNC:26707]
108	ENSG00000273661	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6330]
109	ENSG00000274830	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]
110	ENSG00000274676	KIR2DL5A	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A [Source:HGNC Symbol;Acc:HGNC:16345]
111	ENSG00000273578	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6330]
112	ENSG00000278369	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]
113	ENSG00000274955	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]
114	ENSG00000276004	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]
115	ENSG00000275699	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]
116	ENSG00000276498	KIR3DS1	killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6340]
117	ENSG00000262808	KRTAP1-1	keratin associated protein 1-1 [Source:HGNC Symbol;Acc:HGNC:16772]
118	ENSG00000262731		novel keratin associated protein 2 family member
119	ENSG00000274707	KIR2DL5B	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B [Source:HGNC Symbol;Acc:HGNC:16346]
120	ENSG00000274193	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]
121	ENSG00000263229	KRTAP4-11	keratin associated protein 4-11 [Source:HGNC Symbol;Acc:HGNC:18911]
122	ENSG00000262347	KRTAP1-3	keratin associated protein 1-3 [Source:HGNC Symbol;Acc:HGNC:16771]
123	ENSG00000262520	KRTAP4-16	keratin associated protein 4-16 [Source:HGNC Symbol;Acc:HGNC:18921]
124	ENSG00000275008	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]
125	ENSG00000263243	KRT12	keratin 12 [Source:HGNC Symbol;Acc:HGNC:6414]
126	ENSG00000275599	KIR2DS3	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6335]
127	ENSG00000274402	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]
128	ENSG00000261862	KRTAP1-5	keratin associated protein 1-5 [Source:HGNC Symbol;Acc:HGNC:16777]
129	ENSG00000262164	KRT39	keratin 39 [Source:HGNC Symbol;Acc:HGNC:32971]
130	ENSG00000274283	KIR3DS1	killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6340]
131	ENSG00000276086	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
132	ENSG00000274243	KIR2DS5	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5 [Source:HGNC Symbol;Acc:HGNC:6337]
133	ENSG00000275521	NCR1	natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]
134	ENSG00000275486	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]
135	ENSG00000278414	KIR2DL5B	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B [Source:HGNC Symbol;Acc:HGNC:16346]
136	ENSG00000278474	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]
137	ENSG00000273502	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
138	ENSG00000261852	KRTAP2-1	keratin associated protein 2-1 [Source:HGNC Symbol;Acc:HGNC:16775]
139	ENSG00000276590	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]
140	ENSG00000274480	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
141	ENSG00000263101	KRTAP3-3	keratin associated protein 3-3 [Source:HGNC Symbol;Acc:HGNC:18890]
142	ENSG00000275750	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]
143	ENSG00000278710	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]
144	ENSG00000262862	KRTAP2-3	keratin associated protein 2-3 [Source:HGNC Symbol;Acc:HGNC:18906]
145	ENSG00000263236	KRTAP4-12	keratin associated protein 4-12 [Source:HGNC Symbol;Acc:HGNC:16776]
146	ENSG00000263242	KRTAP1-4	keratin associated protein 1-4 [Source:HGNC Symbol;Acc:HGNC:18904]
147	ENSG00000266286		novel keratin associated protein 4 family member
148	ENSG00000261968	KRTAP4-8	keratin associated protein 4-8 [Source:NCBI gene (formerly Entrezgene);Acc:728224]
149	ENSG00000274724	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
150	ENSG00000273603	KIR2DS1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6333]
151	ENSG00000275596	KIR2DL5A	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A [Source:HGNC Symbol;Acc:HGNC:16345]
152	ENSG00000276139	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]
153	ENSG00000276806	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
154	ENSG00000275452	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]
155	ENSG00000275608	KIR3DS1	killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6340]
156	ENSG00000276218	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]
157	ENSG00000277362	KIR2DL4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]
158	ENSG00000278442	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]
159	ENSG00000278758	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]
160	ENSG00000275253	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]
161	ENSG00000275626	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]
162	ENSG00000274146	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]
163	ENSG00000276333	HS3ST6	heparan sulfate-glucosamine 3-sulfotransferase 6 [Source:HGNC Symbol;Acc:HGNC:14178]
164	ENSG00000277317	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]
165	ENSG00000278079	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]
166	ENSG00000276930	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
167	ENSG00000274556	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
168	ENSG00000275937	KIR2DL5B	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B [Source:HGNC Symbol;Acc:HGNC:16346]
169	ENSG00000277885	KIR2DS2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]
170	ENSG00000275083	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]
171	ENSG00000276011	KIR2DL2	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6330]
172	ENSG00000277552	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
173	ENSG00000278327	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]
174	ENSG00000273517	KIR2DS1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6333]
175	ENSG00000275136	FCAR	Fc fragment of IgA receptor [Source:HGNC Symbol;Acc:HGNC:3608]
176	ENSG00000277596	KIR3DL3	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]
177	ENSG00000275262	KIR3DL2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]
178	ENSG00000273887	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]
179	ENSG00000274563	KIR2DS5	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5 [Source:HGNC Symbol;Acc:HGNC:6337]
180	ENSG00000276450	NCR1	natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]
181	ENSG00000278304	KIR2DS1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6333]
182	ENSG00000275970	FCAR	Fc fragment of IgA receptor [Source:HGNC Symbol;Acc:HGNC:3608]
183	ENSG00000275288	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]
184	ENSG00000273794	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]
185	ENSG00000278780	ZNF430	zinc finger protein 430 [Source:HGNC Symbol;Acc:HGNC:20808]
186	ENSG00000274108	KIR2DL3	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]
187	ENSG00000276686	KIR2DL5A	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A [Source:HGNC Symbol;Acc:HGNC:16345]
188	ENSG00000277356	KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]
189	ENSG00000281486	SNTG2	syntrophin gamma 2 [Source:HGNC Symbol;Acc:HGNC:13741]
190	ENSG00000279566	ZNF43	zinc finger protein 43 [Source:HGNC Symbol;Acc:HGNC:13109]
